customer_id,country,province,city,industry_code,employee_count,sales,established_date,onboard_date
fake_data_0,fake_data_0,fake_data_0,fake_data_0,356,648,901,fake_data_0,fake_data_0
fake_data_1,fake_data_1,fake_data_1,fake_data_1,322,183,393,fake_data_1,fake_data_1
fake_data_2,fake_data_2,fake_data_2,fake_data_2,42,936,908,fake_data_2,fake_data_2
fake_data_3,fake_data_3,fake_data_3,fake_data_3,941,926,290,fake_data_3,fake_data_3
fake_data_4,fake_data_4,fake_data_4,fake_data_4,814,945,596,fake_data_4,fake_data_4
fake_data_5,fake_data_5,fake_data_5,fake_data_5,249,278,385,fake_data_5,fake_data_5
fake_data_6,fake_data_6,fake_data_6,fake_data_6,60,666,19,fake_data_6,fake_data_6
fake_data_7,fake_data_7,fake_data_7,fake_data_7,19,844,143,fake_data_7,fake_data_7
fake_data_8,fake_data_8,fake_data_8,fake_data_8,519,932,916,fake_data_8,fake_data_8
fake_data_9,fake_data_9,fake_data_9,fake_data_9,155,737,110,fake_data_9,fake_data_9
fake_data_10,fake_data_10,fake_data_10,fake_data_10,898,733,602,fake_data_10,fake_data_10
fake_data_11,fake_data_11,fake_data_11,fake_data_11,572,514,323,fake_data_11,fake_data_11
fake_data_12,fake_data_12,fake_data_12,fake_data_12,959,108,466,fake_data_12,fake_data_12
fake_data_13,fake_data_13,fake_data_13,fake_data_13,751,377,454,fake_data_13,fake_data_13
fake_data_14,fake_data_14,fake_data_14,fake_data_14,166,233,807,fake_data_14,fake_data_14
fake_data_15,fake_data_15,fake_data_15,fake_data_15,790,630,282,fake_data_15,fake_data_15
fake_data_16,fake_data_16,fake_data_16,fake_data_16,126,250,758,fake_data_16,fake_data_16
fake_data_17,fake_data_17,fake_data_17,fake_data_17,98,836,218,fake_data_17,fake_data_17
fake_data_18,fake_data_18,fake_data_18,fake_data_18,687,615,345,fake_data_18,fake_data_18
fake_data_19,fake_data_19,fake_data_19,fake_data_19,750,833,794,fake_data_19,fake_data_19
fake_data_20,fake_data_20,fake_data_20,fake_data_20,824,854,23,fake_data_20,fake_data_20
fake_data_21,fake_data_21,fake_data_21,fake_data_21,358,21,56,fake_data_21,fake_data_21
fake_data_22,fake_data_22,fake_data_22,fake_data_22,175,6,362,fake_data_22,fake_data_22
fake_data_23,fake_data_23,fake_data_23,fake_data_23,883,736,471,fake_data_23,fake_data_23
fake_data_24,fake_data_24,fake_data_24,fake_data_24,947,801,824,fake_data_24,fake_data_24
fake_data_25,fake_data_25,fake_data_25,fake_data_25,221,365,350,fake_data_25,fake_data_25
fake_data_26,fake_data_26,fake_data_26,fake_data_26,430,495,546,fake_data_26,fake_data_26
fake_data_27,fake_data_27,fake_data_27,fake_data_27,158,798,24,fake_data_27,fake_data_27
fake_data_28,fake_data_28,fake_data_28,fake_data_28,40,56,276,fake_data_28,fake_data_28
fake_data_29,fake_data_29,fake_data_29,fake_data_29,931,516,327,fake_data_29,fake_data_29
fake_data_30,fake_data_30,fake_data_30,fake_data_30,798,399,200,fake_data_30,fake_data_30
fake_data_31,fake_data_31,fake_data_31,fake_data_31,865,654,748,fake_data_31,fake_data_31
fake_data_32,fake_data_32,fake_data_32,fake_data_32,421,303,402,fake_data_32,fake_data_32
fake_data_33,fake_data_33,fake_data_33,fake_data_33,521,543,860,fake_data_33,fake_data_33
fake_data_34,fake_data_34,fake_data_34,fake_data_34,567,151,438,fake_data_34,fake_data_34
fake_data_35,fake_data_35,fake_data_35,fake_data_35,211,672,429,fake_data_35,fake_data_35
fake_data_36,fake_data_36,fake_data_36,fake_data_36,595,159,385,fake_data_36,fake_data_36
fake_data_37,fake_data_37,fake_data_37,fake_data_37,704,616,945,fake_data_37,fake_data_37
fake_data_38,fake_data_38,fake_data_38,fake_data_38,718,897,8,fake_data_38,fake_data_38
fake_data_39,fake_data_39,fake_data_39,fake_data_39,49,387,689,fake_data_39,fake_data_39
fake_data_40,fake_data_40,fake_data_40,fake_data_40,809,587,596,fake_data_40,fake_data_40
fake_data_41,fake_data_41,fake_data_41,fake_data_41,54,507,440,fake_data_41,fake_data_41
fake_data_42,fake_data_42,fake_data_42,fake_data_42,763,56,968,fake_data_42,fake_data_42
fake_data_43,fake_data_43,fake_data_43,fake_data_43,636,892,799,fake_data_43,fake_data_43
fake_data_44,fake_data_44,fake_data_44,fake_data_44,681,651,393,fake_data_44,fake_data_44
fake_data_45,fake_data_45,fake_data_45,fake_data_45,165,931,419,fake_data_45,fake_data_45
fake_data_46,fake_data_46,fake_data_46,fake_data_46,753,624,245,fake_data_46,fake_data_46
fake_data_47,fake_data_47,fake_data_47,fake_data_47,647,754,127,fake_data_47,fake_data_47
fake_data_48,fake_data_48,fake_data_48,fake_data_48,428,938,584,fake_data_48,fake_data_48
fake_data_49,fake_data_49,fake_data_49,fake_data_49,695,719,592,fake_data_49,fake_data_49
