customer_id,label
fake_data_0,65
fake_data_1,699
fake_data_2,723
fake_data_3,132
fake_data_4,205
fake_data_5,816
fake_data_6,752
fake_data_7,304
fake_data_8,819
fake_data_9,190
fake_data_10,114
fake_data_11,428
fake_data_12,420
fake_data_13,532
fake_data_14,791
fake_data_15,900
fake_data_16,366
fake_data_17,617
fake_data_18,731
fake_data_19,297
fake_data_20,933
fake_data_21,816
fake_data_22,391
fake_data_23,965
fake_data_24,500
fake_data_25,741
fake_data_26,61
fake_data_27,481
fake_data_28,372
fake_data_29,972
fake_data_30,284
fake_data_31,707
fake_data_32,194
fake_data_33,358
fake_data_34,519
fake_data_35,506
fake_data_36,589
fake_data_37,813
fake_data_38,258
fake_data_39,578
fake_data_40,775
fake_data_41,140
fake_data_42,895
fake_data_43,18
fake_data_44,234
fake_data_45,308
fake_data_46,272
fake_data_47,135
fake_data_48,591
fake_data_49,182
